id,product_type,brand,model,year,price,CPU,hard disk,screen,cellular network,num cores,camera resolution
23118690,laptop,Apple,MacBook 2,2022,5431,Intel Core i5,256,19,,,
50224043,laptop,HP,DW 14,2021,2142,Intel Core i5,1000,19,,,
82887229,laptop,Asos,VIVO 20,2022,3160,Intel Core i7,2000,10,,,
24800590,laptop,Lenovo,IdeaPad 7,2020,3664,Intel Core i5,1000,8,,,
46106027,laptop,HP,DW 11 Pro,2018,6230,Intel Core i3,1000,19,,,
35598018,laptop,HP,DW 15,2022,4349,Intel Core i3,1000,17,,,
94186118,laptop,Lenovo,IdeaPad 7,2020,4763,Intel Core i7,256,24,,,
19974603,laptop,HP,DW 10,2017,5736,Intel Core i7,256,21,,,
49569424,laptop,HP,DW 14,2021,2966,Intel Core i5,1000,17,,,
43400046,laptop,Apple,MacBook 2,2022,5037,Intel Core i3,512,19,,,
52485697,laptop,Lenovo,IdeaPad 5,2018,8422,Intel Core i3,256,17,,,
80339917,laptop,Asos,VIVO 20,2022,4297,Intel Core i3,512,12,,,
51891275,laptop,Apple,MacBook 2,2022,5480,Intel Core i3,2000,10,,,
67919542,laptop,Asos,VIVO 15,2017,6037,Intel Core i5,1000,10,,,
69414672,laptop,Lenovo,IdeaPad 6,2019,3797,Intel Core i7,256,24,,,
82383215,laptop,Apple,MacBook 2,2022,5552,Intel Core i7,512,10,,,
44035600,laptop,Asos,VIVO 15,2017,5369,Intel Core i3,1000,21,,,
58006518,laptop,HP,DW 12,2019,1982,Intel Core i3,256,10,,,
50947949,laptop,Asos,VIVO 15,2017,6756,Intel Core i3,2000,21,,,
82554971,laptop,Apple,MacBook 1,2021,5379,Intel Core i5,256,24,,,
71577437,laptop,Apple,MacBook 2,2022,5579,Intel Core i3,512,8,,,
37751542,laptop,Asos,VIVO 20,2022,4948,Intel Core i5,2000,10,,,
88878042,laptop,Apple,MacBook 1 Pro,2021,6366,Intel Core i7,1000,12,,,
39441046,laptop,Lenovo,IdeaPad 5,2018,6307,Intel Core i5,1000,8,,,
72990796,laptop,Apple,MacBook 1,2021,5003,Intel Core i7,512,10,,,
85104244,laptop,Lenovo,IdeaPad 8,2021,4110,Intel Core i7,512,24,,,
63890038,laptop,Apple,MacBook 2 Pro,2022,6386,Intel Core i5,1000,17,,,
84876803,laptop,Asos,VIVO 18,2020,5012,Intel Core i7,512,10,,,
48324893,laptop,HP,DW 13,2020,2571,Intel Core i3,1000,19,,,
48733639,laptop,Asos,VIVO 20,2022,2869,Intel Core i3,512,8,,,
36052790,laptop,Apple,MacBook 2,2022,5870,Intel Core i5,2000,8,,,
44474323,laptop,Apple,MacBook 1,2021,5488,Intel Core i7,512,8,,,
20876859,laptop,Lenovo,IdeaPad 8,2021,4840,Intel Core i7,512,17,,,
69328569,laptop,Lenovo,IdeaPad 6,2019,4436,Intel Core i7,512,19,,,
28651475,laptop,Lenovo,IdeaPad 9,2022,3941,Intel Core i5,512,12,,,
18381325,laptop,Apple,MacBook 2,2022,5643,Intel Core i7,256,19,,,
59803396,laptop,Lenovo,IdeaPad 7,2020,4903,Intel Core i3,256,12,,,
60703555,laptop,Lenovo,IdeaPad 8,2021,3786,Intel Core i5,256,10,,,
88682110,laptop,Lenovo,IdeaPad 9,2022,3671,Intel Core i3,512,17,,,
40923224,laptop,Lenovo,IdeaPad 7,2020,4761,Intel Core i3,512,21,,,
76667292,laptop,Lenovo,IdeaPad 9,2022,5183,Intel Core i5,1000,17,,,
14878868,laptop,Asos,VIVO 17,2019,4191,Intel Core i5,1000,12,,,
26679604,laptop,Apple,MacBook 1,2021,5668,Intel Core i3,1000,8,,,
30521754,laptop,Asos,VIVO 15,2017,5601,Intel Core i3,1000,19,,,
27132521,laptop,HP,DW 10 Pro,2017,7396,Intel Core i3,256,10,,,
32067962,laptop,Apple,MacBook 1,2021,5461,Intel Core i3,2000,19,,,
14251197,laptop,HP,DW 15,2022,2409,Intel Core i5,512,24,,,
30257854,laptop,Apple,MacBook 1,2021,5642,Intel Core i5,256,24,,,
75116240,laptop,Asos,VIVO 18,2020,5060,Intel Core i5,256,21,,,
94931995,laptop,Lenovo,IdeaPad 5,2018,8508,Intel Core i5,256,17,,,
49383613,laptop,Lenovo,IdeaPad 7,2020,4644,Intel Core i5,1000,21,,,
65674301,laptop,Apple,MacBook 1,2021,5368,Intel Core i7,256,17,,,
36759869,laptop,Asos,VIVO 20,2022,4286,Intel Core i7,1000,19,,,
43042991,laptop,Asos,VIVO 18,2020,2563,Intel Core i7,1000,19,,,
53101042,laptop,Asos,VIVO 18,2020,4788,Intel Core i3,512,21,,,
94960250,laptop,HP,DW 13,2020,3185,Intel Core i3,256,19,,,
92719139,laptop,Asos,VIVO 19,2021,4266,Intel Core i3,256,17,,,
71031137,laptop,Lenovo,IdeaPad 6,2019,4683,Intel Core i7,512,10,,,
59930305,laptop,Asos,VIVO 18,2020,3305,Intel Core i3,256,19,,,
57148574,laptop,Asos,VIVO 16 Pro,2018,8120,Intel Core i5,2000,24,,,
92594863,laptop,Lenovo,IdeaPad 7,2020,4923,Intel Core i7,256,21,,,
42021939,laptop,Asos,VIVO 15,2017,6196,Intel Core i3,1000,24,,,
97211001,laptop,Apple,MacBook 2 Pro,2022,5929,Intel Core i3,1000,21,,,
20246726,laptop,Asos,VIVO 17,2019,4811,Intel Core i7,2000,24,,,
78431040,laptop,Apple,MacBook 2,2022,5734,Intel Core i7,2000,24,,,
47924952,laptop,Asos,VIVO 20,2022,4987,Intel Core i5,256,24,,,
99660861,laptop,Asos,VIVO 18 Pro,2020,3593,Intel Core i7,2000,17,,,
38050301,laptop,Lenovo,IdeaPad 9 Pro,2022,5731,Intel Core i3,256,21,,,
82883850,laptop,Lenovo,IdeaPad 7,2020,4840,Intel Core i3,512,24,,,
28322821,laptop,Asos,VIVO 18,2020,4685,Intel Core i5,512,17,,,
58132397,laptop,Apple,MacBook 2,2022,5541,Intel Core i5,2000,17,,,
12070260,laptop,HP,DW 14,2021,3369,Intel Core i5,1000,8,,,
95570529,laptop,Lenovo,IdeaPad 9,2022,5150,Intel Core i5,512,12,,,
15376741,laptop,HP,DW 12,2019,2655,Intel Core i3,1000,8,,,
78581898,laptop,HP,DW 13,2020,3206,Intel Core i5,1000,21,,,
25093852,laptop,Lenovo,IdeaPad 9,2022,5098,Intel Core i7,2000,24,,,
72187277,laptop,Apple,MacBook 1,2021,5852,Intel Core i3,2000,8,,,
25411199,laptop,Asos,VIVO 17,2019,3963,Intel Core i7,512,12,,,
43042446,laptop,Asos,VIVO 20,2022,3627,Intel Core i7,256,17,,,
73411283,laptop,Asos,VIVO 15,2017,5195,Intel Core i5,2000,12,,,
90750583,laptop,Apple,MacBook 2,2022,5251,Intel Core i5,512,8,,,
72716469,laptop,HP,DW 14 Pro,2021,3353,Intel Core i3,512,24,,,
79831070,laptop,Apple,MacBook 2,2022,5917,Intel Core i5,2000,24,,,
36872358,laptop,Asos,VIVO 20,2022,4878,Intel Core i3,256,24,,,
70489305,laptop,Apple,MacBook 1 Pro,2021,6376,Intel Core i5,256,19,,,
76672818,laptop,Apple,MacBook 2,2022,5614,Intel Core i7,1000,21,,,
74097425,laptop,Apple,MacBook 2,2022,5772,Intel Core i3,2000,19,,,
25230127,laptop,Asos,VIVO 19,2021,2665,Intel Core i7,512,10,,,
18802902,laptop,Asos,VIVO 18,2020,4704,Intel Core i3,512,12,,,
40332156,laptop,Asos,VIVO 18,2020,5001,Intel Core i5,256,10,,,
67472103,laptop,Apple,MacBook 2 Pro,2022,6371,Intel Core i7,256,19,,,
93908748,laptop,Asos,VIVO 19,2021,3798,Intel Core i3,512,17,,,
23263014,laptop,HP,DW 13,2020,4359,Intel Core i5,2000,17,,,
77458670,laptop,Lenovo,IdeaPad 8,2021,5030,Intel Core i7,256,10,,,
50365862,laptop,Apple,MacBook 2 Pro,2022,5861,Intel Core i7,512,19,,,
21816641,laptop,HP,DW 13,2020,3961,Intel Core i3,2000,19,,,
76385446,laptop,Lenovo,IdeaPad 6,2019,4642,Intel Core i3,2000,24,,,
65037477,laptop,Lenovo,IdeaPad 8,2021,4489,Intel Core i3,256,19,,,
65679266,laptop,HP,DW 12 Pro,2019,2042,Intel Core i7,512,19,,,
81815402,laptop,Lenovo,IdeaPad 6,2019,5351,Intel Core i7,2000,12,,,
54811272,laptop,HP,DW 15,2022,4174,Intel Core i5,1000,8,,,
13271277,laptop,Apple,MacBook 1,2021,5193,Intel Core i7,512,21,,,
29512224,laptop,HP,DW 11,2018,6258,Intel Core i3,256,21,,,
50336897,laptop,Apple,MacBook 1,2021,5168,Intel Core i7,2000,8,,,
29663505,laptop,Lenovo,IdeaPad 9,2022,4537,Intel Core i5,512,21,,,
60823909,laptop,Lenovo,IdeaPad 8,2021,4504,Intel Core i5,1000,24,,,
16184222,laptop,Apple,MacBook 1,2021,5211,Intel Core i3,512,8,,,
11626416,laptop,Apple,MacBook 1 Pro,2021,5825,Intel Core i5,512,8,,,
18142495,laptop,Asos,VIVO 16,2018,7592,Intel Core i7,2000,24,,,
49679979,laptop,Lenovo,IdeaPad 6,2019,5055,Intel Core i3,512,17,,,
73694842,laptop,HP,DW 11,2018,5965,Intel Core i7,1000,17,,,
36533811,laptop,HP,DW 14 Pro,2021,2364,Intel Core i7,512,24,,,
52326615,laptop,Lenovo,IdeaPad 9,2022,3593,Intel Core i5,512,24,,,
91202109,laptop,HP,DW 14,2021,3053,Intel Core i5,2000,24,,,
19965989,laptop,Asos,VIVO 17 Pro,2019,4615,Intel Core i3,512,12,,,
87583019,laptop,Apple,MacBook 2,2022,5210,Intel Core i3,1000,24,,,
88102144,laptop,Lenovo,IdeaPad 5,2018,5928,Intel Core i3,2000,12,,,
44419387,laptop,Asos,VIVO 20,2022,2569,Intel Core i3,2000,10,,,
43748334,laptop,HP,DW 12,2019,2717,Intel Core i7,2000,24,,,
23239109,laptop,HP,DW 12,2019,4312,Intel Core i5,256,21,,,
20918716,laptop,HP,DW 12,2019,2090,Intel Core i7,256,8,,,
34556386,laptop,HP,DW 15,2022,4409,Intel Core i5,1000,21,,,
65914337,laptop,Lenovo,IdeaPad 9,2022,5030,Intel Core i7,512,19,,,
76311477,laptop,Apple,MacBook 1,2021,5067,Intel Core i3,512,17,,,
22308960,laptop,Lenovo,IdeaPad 8,2021,4147,Intel Core i3,512,8,,,
85531340,laptop,Lenovo,IdeaPad 5 Pro,2018,6509,Intel Core i5,512,12,,,
17737677,laptop,HP,DW 15,2022,3027,Intel Core i7,1000,17,,,
18805382,laptop,Apple,MacBook 2,2022,5227,Intel Core i7,1000,19,,,
95607340,laptop,Apple,MacBook 1 Pro,2021,5511,Intel Core i7,2000,10,,,
40180425,laptop,Lenovo,IdeaPad 5,2018,7924,Intel Core i7,512,19,,,
63381194,laptop,HP,DW 14,2021,3443,Intel Core i5,1000,10,,,
30370302,laptop,HP,DW 13 Pro,2020,3340,Intel Core i5,512,21,,,
11086917,laptop,Lenovo,IdeaPad 8,2021,3786,Intel Core i7,2000,17,,,
31353831,laptop,Asos,VIVO 15,2017,5655,Intel Core i3,2000,10,,,
38336430,laptop,HP,DW 12,2019,4369,Intel Core i7,512,21,,,
33045154,laptop,Asos,VIVO 16,2018,6336,Intel Core i3,256,19,,,
90913954,laptop,Apple,MacBook 2,2022,5992,Intel Core i5,2000,12,,,
78641496,laptop,Apple,MacBook 1,2021,5443,Intel Core i3,2000,19,,,
49080609,laptop,Asos,VIVO 18 Pro,2020,3909,Intel Core i7,256,8,,,
37033782,laptop,Lenovo,IdeaPad 7,2020,4436,Intel Core i7,512,19,,,
25537763,laptop,Lenovo,IdeaPad 6,2019,4460,Intel Core i3,2000,19,,,
71668859,laptop,Asos,VIVO 16,2018,5503,Intel Core i3,512,17,,,
95829610,laptop,Lenovo,IdeaPad 8 Pro,2021,5254,Intel Core i5,2000,19,,,
84185129,laptop,Asos,VIVO 17,2019,2990,Intel Core i3,1000,12,,,
93163446,laptop,Apple,MacBook 2,2022,5341,Intel Core i3,512,10,,,
17917624,laptop,Lenovo,IdeaPad 9,2022,5392,Intel Core i5,512,24,,,
47923869,laptop,Lenovo,IdeaPad 5,2018,6609,Intel Core i7,2000,19,,,
20521994,laptop,Apple,MacBook 1,2021,5100,Intel Core i5,512,19,,,
49414666,laptop,HP,DW 14,2021,3860,Intel Core i5,512,10,,,
70974646,laptop,Asos,VIVO 16 Pro,2018,7357,Intel Core i7,2000,12,,,
91306615,laptop,Lenovo,IdeaPad 7,2020,5257,Intel Core i7,2000,8,,,
68204032,laptop,Apple,MacBook 1 Pro,2021,6307,Intel Core i5,256,24,,,
81466570,laptop,Asos,VIVO 16,2018,5957,Intel Core i7,256,12,,,
24425824,laptop,Apple,MacBook 2,2022,5004,Intel Core i3,2000,12,,,
20631069,laptop,HP,DW 10,2017,5007,Intel Core i3,256,12,,,
14056114,laptop,Lenovo,IdeaPad 9,2022,3891,Intel Core i5,512,12,,,
84681777,laptop,Asos,VIVO 19,2021,4413,Intel Core i3,256,24,,,
56235133,laptop,HP,DW 15,2022,2128,Intel Core i7,1000,10,,,
11501813,laptop,Asos,VIVO 20,2022,3576,Intel Core i5,256,17,,,
45767916,laptop,Lenovo,IdeaPad 6,2019,4031,Intel Core i7,256,10,,,
73914400,laptop,Asos,VIVO 18,2020,4309,Intel Core i3,2000,12,,,
69899419,laptop,Asos,VIVO 16,2018,8085,Intel Core i7,1000,12,,,
40834455,laptop,Asos,VIVO 18,2020,4892,Intel Core i7,256,12,,,
64434293,laptop,Asos,VIVO 18,2020,3039,Intel Core i5,256,19,,,
92783847,laptop,Asos,VIVO 20,2022,3322,Intel Core i7,1000,19,,,
16188214,laptop,Lenovo,IdeaPad 7,2020,5183,Intel Core i5,256,8,,,
46813537,laptop,HP,DW 10,2017,5301,Intel Core i5,1000,12,,,
67661826,laptop,Asos,VIVO 17,2019,4334,Intel Core i7,256,8,,,
33541631,laptop,HP,DW 15 Pro,2022,3596,Intel Core i5,2000,10,,,
48227977,laptop,Lenovo,IdeaPad 9,2022,4918,Intel Core i3,2000,12,,,
48953287,laptop,HP,DW 15,2022,3540,Intel Core i7,512,12,,,
33621229,laptop,Asos,VIVO 20 Pro,2022,4601,Intel Core i3,2000,10,,,
25699268,laptop,HP,DW 10 Pro,2017,6237,Intel Core i7,2000,12,,,
20679235,laptop,HP,DW 10,2017,7011,Intel Core i5,512,8,,,
28918692,laptop,Lenovo,IdeaPad 7,2020,5112,Intel Core i3,512,10,,,
31917685,laptop,Apple,MacBook 2,2022,5252,Intel Core i3,512,12,,,
25837615,laptop,Asos,VIVO 18 Pro,2020,3057,Intel Core i3,256,8,,,
13601345,laptop,HP,DW 10,2017,6060,Intel Core i7,2000,12,,,
53439724,laptop,HP,DW 10,2017,4834,Intel Core i3,512,21,,,
26795317,laptop,Lenovo,IdeaPad 5,2018,7111,Intel Core i3,1000,19,,,
43374055,laptop,Asos,VIVO 19,2021,3143,Intel Core i7,1000,24,,,
11656007,laptop,Lenovo,IdeaPad 6,2019,3643,Intel Core i5,256,17,,,
11206727,laptop,Lenovo,IdeaPad 6,2019,5363,Intel Core i3,2000,21,,,
11121362,laptop,Asos,VIVO 17 Pro,2019,3457,Intel Core i5,2000,21,,,
65475652,laptop,Asos,VIVO 20,2022,4830,Intel Core i3,512,21,,,
67293784,laptop,Asos,VIVO 15,2017,7861,Intel Core i5,512,24,,,
22671367,laptop,HP,DW 13,2020,3469,Intel Core i5,256,19,,,
32041774,laptop,Lenovo,IdeaPad 9,2022,5354,Intel Core i7,256,12,,,
15383009,laptop,Asos,VIVO 17,2019,3389,Intel Core i3,2000,17,,,
68375502,laptop,HP,DW 15,2022,3469,Intel Core i5,256,24,,,
46588654,laptop,Lenovo,IdeaPad 6,2019,4830,Intel Core i7,1000,19,,,
41450387,laptop,Lenovo,IdeaPad 8,2021,3972,Intel Core i7,1000,24,,,
69366289,laptop,Apple,MacBook 1 Pro,2021,6301,Intel Core i5,512,24,,,
94544534,laptop,Apple,MacBook 1,2021,5131,Intel Core i5,2000,24,,,
84279663,laptop,Asos,VIVO 16,2018,6080,Intel Core i5,1000,10,,,
16004168,laptop,HP,DW 13,2020,4284,Intel Core i3,2000,17,,,
86893433,laptop,Apple,MacBook 2,2022,5158,Intel Core i7,2000,10,,,
31850880,laptop,Asos,VIVO 17,2019,3584,Intel Core i7,2000,10,,,
70922926,laptop,HP,DW 15,2022,2179,Intel Core i3,2000,8,,,
89196033,laptop,Lenovo,IdeaPad 7 Pro,2020,4791,Intel Core i7,1000,8,,,
43159346,smartphone,Google,Pixel 2,2017,3375,,,,3G,2,8
30056899,smartphone,Google,Pixel 2,2017,3779,,,,4G,4,1
83658207,smartphone,Xiaomi,Redmi A8,2021,764,,,,3G,4,1
84561836,smartphone,Xiaomi,Redmi A7 Pro,2020,1973,,,,3G,2,4
48124955,smartphone,Apple,IPhone 14,2022,2668,,,,3G,12,8
75165812,smartphone,Samsung,Galaxy S17,2017,4867,,,,3G,12,64
88360541,smartphone,Google,Pixel 4,2019,1898,,,,3G,4,64
37492253,smartphone,Apple,IPhone 10,2018,5156,,,,3G,12,2
98302925,smartphone,Apple,IPhone 9,2017,4908,,,,4G,12,2
37219891,smartphone,Xiaomi,Redmi A5,2018,2346,,,,5G,10,16
79097541,smartphone,Xiaomi,Redmi A8,2021,592,,,,3G,2,4
74520314,smartphone,Apple,IPhone 12,2020,2679,,,,4G,8,4
74731233,smartphone,Samsung,Galaxy S14,2014,4275,,,,3G,1,2
84089278,smartphone,Xiaomi,Redmi A7,2020,580,,,,3G,2,64
23608649,smartphone,Google,Pixel 2,2017,3401,,,,4G,1,64
92947349,smartphone,Apple,IPhone 10,2018,3989,,,,4G,2,64
74371554,smartphone,Google,Pixel 5,2020,2243,,,,5G,4,1
47825012,smartphone,Apple,IPhone 14,2022,2502,,,,4G,12,128
96171228,smartphone,Google,Pixel 6,2021,2209,,,,4G,2,2
41205578,smartphone,Samsung,Galaxy S18,2018,4083,,,,4G,16,8
28392569,smartphone,Apple,IPhone 10,2018,4053,,,,5G,12,4
50329929,smartphone,Apple,IPhone 14,2022,3281,,,,3G,8,4
68053873,smartphone,Xiaomi,Redmi A5,2018,2764,,,,4G,2,1
18862036,smartphone,Google,Pixel 2,2017,3881,,,,4G,16,1
55665218,smartphone,Google,Pixel 1,2016,4058,,,,5G,12,2
98181821,smartphone,Xiaomi,Redmi A7,2020,788,,,,3G,16,4
93398290,smartphone,Xiaomi,Redmi A6 Pro,2019,1153,,,,4G,16,1
60868007,smartphone,Xiaomi,Redmi A5,2018,2085,,,,3G,1,4
58117344,smartphone,Google,Pixel 2,2017,3111,,,,3G,16,1
74195034,smartphone,Apple,IPhone 9,2017,3540,,,,3G,1,2
64642725,smartphone,Apple,IPhone 10,2018,4455,,,,5G,8,2
74265211,smartphone,Xiaomi,Redmi A6,2019,582,,,,4G,1,1
63077152,smartphone,Apple,IPhone 8,2016,4432,,,,5G,10,4
96495525,smartphone,Apple,IPhone 8,2016,5344,,,,4G,2,2
60555722,smartphone,Xiaomi,Redmi A7,2020,541,,,,4G,10,32
43588287,smartphone,Apple,IPhone 12,2020,2932,,,,3G,4,32
71497876,smartphone,Samsung,Galaxy S15,2015,3773,,,,4G,16,32
46749127,smartphone,Apple,IPhone 12 Pro,2020,3748,,,,5G,16,128
